,Date,snmpreportedmac,variable,value,sort_order,transmission_type,radio_type
0,2020-03-01,74:EA:E8:F2:C9:25,2.4_Tx_mcs0,4232,0,Tx,2.4
1,2020-03-01,74:EA:E8:F2:CB:AD,2.4_Tx_mcs0,24,0,Tx,2.4
2,2020-03-01,74:EA:E8:F2:CD:4D,2.4_Tx_mcs0,4105,0,Tx,2.4
3,2020-03-01,74:EA:E8:F2:CD:5D,2.4_Tx_mcs0,8203,0,Tx,2.4
4,2020-03-01,74:EA:E8:F2:CD:61,2.4_Tx_mcs0,4147,0,Tx,2.4
5,2020-03-01,74:EA:E8:F2:CD:65,2.4_Tx_mcs0,4206,0,Tx,2.4
6,2020-03-01,74:EA:E8:F2:CD:6D,2.4_Tx_mcs0,4157,0,Tx,2.4
7,2020-03-01,74:EA:E8:F2:CD:D5,2.4_Tx_mcs0,74,0,Tx,2.4
8,2020-03-01,74:EA:E8:F2:CD:D9,2.4_Tx_mcs0,239,0,Tx,2.4
9,2020-03-01,74:EA:E8:F2:CE:4D,2.4_Tx_mcs0,4151,0,Tx,2.4
10,2020-03-01,74:EA:E8:F2:D2:69,2.4_Tx_mcs0,8275,0,Tx,2.4
11,2020-03-01,A8:9F:EC:DA:90:21,2.4_Tx_mcs0,16509,0,Tx,2.4
12,2020-03-01,A8:9F:EC:DA:90:41,2.4_Tx_mcs0,4151,0,Tx,2.4
13,2020-03-01,A8:9F:EC:DA:90:8D,2.4_Tx_mcs0,18,0,Tx,2.4
14,2020-03-01,A8:9F:EC:DA:90:91,2.4_Tx_mcs0,8227,0,Tx,2.4
15,2020-03-01,A8:9F:EC:DA:90:99,2.4_Tx_mcs0,15,0,Tx,2.4
16,2020-03-01,A8:9F:EC:DA:90:9D,2.4_Tx_mcs0,16,0,Tx,2.4
17,2020-03-01,A8:9F:EC:DA:90:A1,2.4_Tx_mcs0,4137,0,Tx,2.4
18,2020-03-01,A8:9F:EC:DA:90:B1,2.4_Tx_mcs0,4102,0,Tx,2.4
19,2020-03-01,A8:9F:EC:DA:91:1D,2.4_Tx_mcs0,39,0,Tx,2.4
20,2020-03-01,A8:9F:EC:DA:91:3D,2.4_Tx_mcs0,4111,0,Tx,2.4
21,2020-03-01,A8:9F:EC:DA:91:49,2.4_Tx_mcs0,32,0,Tx,2.4
22,2020-03-01,A8:9F:EC:DA:91:4D,2.4_Tx_mcs0,34,0,Tx,2.4
23,2020-03-01,A8:9F:EC:DA:AD:51,2.4_Tx_mcs0,87,0,Tx,2.4
24,2020-03-01,A8:9F:EC:DA:AF:FD,2.4_Tx_mcs0,80,0,Tx,2.4
25,2020-03-01,A8:9F:EC:DA:B1:91,2.4_Tx_mcs0,4515,0,Tx,2.4
26,2020-03-01,A8:9F:EC:DA:B2:39,2.4_Tx_mcs0,527,0,Tx,2.4
27,2020-03-01,A8:9F:EC:DA:B2:49,2.4_Tx_mcs0,625,0,Tx,2.4
28,2020-03-01,A8:9F:EC:DA:B2:4D,2.4_Tx_mcs0,275,0,Tx,2.4
29,2020-03-01,A8:9F:EC:DA:B2:51,2.4_Tx_mcs0,485,0,Tx,2.4
30,2020-03-01,A8:9F:EC:DA:B2:65,2.4_Tx_mcs0,412,0,Tx,2.4
31,2020-03-01,A8:9F:EC:DA:B2:69,2.4_Tx_mcs0,80,0,Tx,2.4
32,2020-03-01,A8:9F:EC:DA:B2:6D,2.4_Tx_mcs0,283,0,Tx,2.4
33,2020-03-01,A8:9F:EC:DA:B2:71,2.4_Tx_mcs0,8344,0,Tx,2.4
34,2020-03-01,A8:9F:EC:DA:B2:75,2.4_Tx_mcs0,8262,0,Tx,2.4
35,2020-03-01,A8:9F:EC:DA:B2:E1,2.4_Tx_mcs0,8225,0,Tx,2.4
36,2020-03-01,A8:9F:EC:DA:B3:7D,2.4_Tx_mcs0,8307,0,Tx,2.4
37,2020-03-01,A8:9F:EC:DA:B3:91,2.4_Tx_mcs0,8264,0,Tx,2.4
38,2020-03-01,A8:9F:EC:DA:B3:F5,2.4_Tx_mcs0,4128,0,Tx,2.4
39,2020-03-01,A8:9F:EC:DA:B3:F9,2.4_Tx_mcs0,4100,0,Tx,2.4
40,2020-03-01,A8:9F:EC:DA:B4:01,2.4_Tx_mcs0,24599,0,Tx,2.4
41,2020-03-01,A8:9F:EC:DA:B5:85,2.4_Tx_mcs0,44,0,Tx,2.4
42,2020-03-01,A8:9F:EC:DA:B5:8D,2.4_Tx_mcs0,4122,0,Tx,2.4
43,2020-03-01,A8:9F:EC:DA:B5:91,2.4_Tx_mcs0,232,0,Tx,2.4
44,2020-03-01,A8:9F:EC:DA:B5:FD,2.4_Tx_mcs0,584,0,Tx,2.4
45,2020-03-01,A8:9F:EC:DA:B6:09,2.4_Tx_mcs0,46,0,Tx,2.4
46,2020-03-01,A8:9F:EC:DA:B6:79,2.4_Tx_mcs0,143,0,Tx,2.4
47,2020-03-01,A8:9F:EC:DA:B6:81,2.4_Tx_mcs0,131,0,Tx,2.4
48,2020-03-01,A8:9F:EC:DA:B9:89,2.4_Tx_mcs0,3,0,Tx,2.4
49,2020-03-01,A8:9F:EC:DA:B9:C5,2.4_Tx_mcs0,52,0,Tx,2.4
50,2020-03-01,A8:9F:EC:DA:B9:D1,2.4_Tx_mcs0,157,0,Tx,2.4
51,2020-03-01,A8:9F:EC:DA:B9:D5,2.4_Tx_mcs0,136,0,Tx,2.4
52,2020-03-01,A8:9F:EC:DA:B9:D9,2.4_Tx_mcs0,166,0,Tx,2.4
53,2020-03-01,A8:9F:EC:DA:B9:E5,2.4_Tx_mcs0,21,0,Tx,2.4
54,2020-03-01,A8:9F:EC:DA:B9:ED,2.4_Tx_mcs0,159,0,Tx,2.4
55,2020-03-01,A8:9F:EC:DA:BA:75,2.4_Tx_mcs0,17,0,Tx,2.4
56,2020-03-01,A8:9F:EC:DA:C4:19,2.4_Tx_mcs0,78,0,Tx,2.4
57,2020-03-01,A8:9F:EC:DA:C4:1D,2.4_Tx_mcs0,4,0,Tx,2.4
58,2020-03-01,A8:9F:EC:DA:C4:21,2.4_Tx_mcs0,446,0,Tx,2.4
59,2020-03-01,A8:9F:EC:DA:C4:41,2.4_Tx_mcs0,2,0,Tx,2.4
60,2020-03-01,A8:9F:EC:DA:C4:51,2.4_Tx_mcs0,148,0,Tx,2.4
61,2020-03-01,A8:9F:EC:FB:EB:31,2.4_Tx_mcs0,40,0,Tx,2.4
62,2020-03-01,A8:9F:EC:FB:EB:E1,2.4_Tx_mcs0,29,0,Tx,2.4
63,2020-03-01,A8:9F:EC:FB:EC:2D,2.4_Tx_mcs0,38,0,Tx,2.4
64,2020-03-01,A8:9F:EC:FB:EC:99,2.4_Tx_mcs0,387,0,Tx,2.4
65,2020-03-01,A8:9F:EC:FB:EC:A1,2.4_Tx_mcs0,1,0,Tx,2.4
66,2020-03-01,A8:9F:EC:FB:EC:C5,2.4_Tx_mcs0,163,0,Tx,2.4
67,2020-03-01,A8:9F:EC:FB:ED:61,2.4_Tx_mcs0,17,0,Tx,2.4
68,2020-03-01,A8:9F:EC:FC:22:81,2.4_Tx_mcs0,257,0,Tx,2.4
69,2020-03-01,A8:9F:EC:FC:22:AD,2.4_Tx_mcs0,159,0,Tx,2.4
70,2020-03-01,A8:9F:EC:FC:22:BD,2.4_Tx_mcs0,60,0,Tx,2.4
71,2020-03-01,A8:9F:EC:FC:26:39,2.4_Tx_mcs0,118,0,Tx,2.4
72,2020-03-01,A8:9F:EC:FC:26:59,2.4_Tx_mcs0,49,0,Tx,2.4
73,2020-03-01,A8:9F:EC:FC:26:E9,2.4_Tx_mcs0,4143,0,Tx,2.4
74,2020-03-01,A8:9F:EC:FC:26:ED,2.4_Tx_mcs0,4220,0,Tx,2.4
75,2020-03-01,A8:9F:EC:FC:26:F5,2.4_Tx_mcs0,4365,0,Tx,2.4
76,2020-03-01,A8:9F:EC:FC:26:F9,2.4_Tx_mcs0,4198,0,Tx,2.4
77,2020-03-01,A8:9F:EC:FC:27:0D,2.4_Tx_mcs0,4240,0,Tx,2.4
78,2020-03-01,A8:9F:EC:FC:27:11,2.4_Tx_mcs0,69,0,Tx,2.4
79,2020-03-01,A8:9F:EC:FC:27:21,2.4_Tx_mcs0,4328,0,Tx,2.4
80,2020-03-01,A8:9F:EC:FC:27:55,2.4_Tx_mcs0,8380,0,Tx,2.4
81,2020-03-01,A8:9F:EC:FC:27:E5,2.4_Tx_mcs0,4603,0,Tx,2.4
82,2020-03-01,A8:9F:EC:FC:28:8D,2.4_Tx_mcs0,12465,0,Tx,2.4
83,2020-03-01,A8:9F:EC:FC:28:D9,2.4_Tx_mcs0,12372,0,Tx,2.4
84,2020-03-01,A8:9F:EC:FC:29:11,2.4_Tx_mcs0,16537,0,Tx,2.4
85,2020-03-01,A8:9F:EC:FC:29:1D,2.4_Tx_mcs0,4252,0,Tx,2.4
86,2020-03-01,A8:9F:EC:FC:29:9D,2.4_Tx_mcs0,44,0,Tx,2.4
87,2020-03-01,A8:9F:EC:FC:29:A5,2.4_Tx_mcs0,52,0,Tx,2.4
88,2020-03-01,A8:9F:EC:FC:29:F5,2.4_Tx_mcs0,22,0,Tx,2.4
89,2020-03-01,A8:9F:EC:FC:2A:01,2.4_Tx_mcs0,100,0,Tx,2.4
90,2020-03-01,A8:9F:EC:FC:2F:99,2.4_Tx_mcs0,278,0,Tx,2.4
91,2020-03-01,A8:9F:EC:FC:30:85,2.4_Tx_mcs0,171,0,Tx,2.4
92,2020-03-01,A8:9F:EC:FC:30:89,2.4_Tx_mcs0,8371,0,Tx,2.4
93,2020-03-01,A8:9F:EC:FC:30:95,2.4_Tx_mcs0,4133,0,Tx,2.4
94,2020-03-01,A8:9F:EC:FC:30:A5,2.4_Tx_mcs0,217,0,Tx,2.4
95,2020-03-01,A8:9F:EC:FC:30:AD,2.4_Tx_mcs0,65,0,Tx,2.4
96,2020-03-01,A8:9F:EC:FC:30:B5,2.4_Tx_mcs0,8347,0,Tx,2.4
97,2020-03-01,A8:9F:EC:FC:30:C1,2.4_Tx_mcs0,4260,0,Tx,2.4
98,2020-03-01,A8:9F:EC:FC:30:D1,2.4_Tx_mcs0,43,0,Tx,2.4
99,2020-03-01,A8:9F:EC:FC:30:D5,2.4_Tx_mcs0,351,0,Tx,2.4
100,2020-03-01,A8:9F:EC:FC:30:DD,2.4_Tx_mcs0,4359,0,Tx,2.4
101,2020-03-01,A8:9F:EC:FC:30:E5,2.4_Tx_mcs0,8358,0,Tx,2.4
102,2020-03-01,A8:9F:EC:FC:32:19,2.4_Tx_mcs0,8452,0,Tx,2.4
103,2020-03-01,A8:9F:EC:FC:32:1D,2.4_Tx_mcs0,121,0,Tx,2.4
104,2020-03-01,A8:9F:EC:FC:32:4D,2.4_Tx_mcs0,179,0,Tx,2.4
105,2020-03-01,F8:2D:C0:BD:D1:5D,2.4_Tx_mcs0,4279,0,Tx,2.4
106,2020-03-01,F8:2D:C0:BF:95:29,2.4_Tx_mcs0,300,0,Tx,2.4
107,2020-03-01,F8:2D:C0:BF:95:31,2.4_Tx_mcs0,164,0,Tx,2.4
108,2020-03-01,F8:2D:C0:BF:95:35,2.4_Tx_mcs0,8356,0,Tx,2.4
109,2020-03-01,F8:2D:C0:BF:96:49,2.4_Tx_mcs0,60,0,Tx,2.4
110,2020-03-01,F8:2D:C0:BF:96:61,2.4_Tx_mcs0,4155,0,Tx,2.4
111,2020-03-01,F8:2D:C0:BF:96:65,2.4_Tx_mcs0,4159,0,Tx,2.4
112,2020-03-01,F8:2D:C0:BF:96:69,2.4_Tx_mcs0,87,0,Tx,2.4
113,2020-03-01,F8:2D:C0:BF:96:6D,2.4_Tx_mcs0,8252,0,Tx,2.4
