"Timestamp","Current_IP","Current_MAC","Current_Location","2.4_Tx_mcs0","2.4_Tx_mcs1","2.4_Tx_mcs2","2.4_Tx_mcs3","2.4_Tx_mcs4","2.4_Tx_mcs5","2.4_Tx_mcs6","2.4_Tx_mcs7","2.4_Tx_mcs8","2.4_Tx_mcs9","2.4_Tx_mcs10","2.4_Tx_mcs11","2.4_Tx_mcs12","2.4_Tx_mcs13","2.4_Tx_mcs14","2.4_Tx_mcs15","2.4_Tx_mcs16","2.4_Tx_mcs17","2.4_Tx_mcs18","2.4_Tx_mcs19","2.4_Tx_mcs20","2.4_Tx_mcs21","2.4_Tx_mcs22","2.4_Tx_mcs23","5_Tx_mcs0","5_Tx_mcs1","5_Tx_mcs2","5_Tx_mcs3","5_Tx_mcs4","5_Tx_mcs5","5_Tx_mcs6","5_Tx_mcs7","5_Tx_mcs8","5_Tx_mcs9","2.4_Rx_mcs0","2.4_Rx_mcs1","2.4_Rx_mcs2","2.4_Rx_mcs3","2.4_Rx_mcs4","2.4_Rx_mcs5","2.4_Rx_mcs6","2.4_Rx_mcs7","2.4_Rx_mcs8","2.4_Rx_mcs9","2.4_Rx_mcs10","2.4_Rx_mcs11","2.4_Rx_mcs12","2.4_Rx_mcs13","2.4_Rx_mcs14","2.4_Rx_mcs15","2.4_Rx_mcs16","2.4_Rx_mcs17","2.4_Rx_mcs18","2.4_Rx_mcs19","2.4_Rx_mcs20","2.4_Rx_mcs21","2.4_Rx_mcs22","2.4_Rx_mcs23","5_Rx_mcs0","5_Rx_mcs1","5_Rx_mcs2","5_Rx_mcs3","5_Rx_mcs4","5_Rx_mcs5","5_Rx_mcs6","5_Rx_mcs7","5_Rx_mcs8","5_Rx_mcs9"
2020-03-01 00:00:01,2001:0558:4042:0080:76EA:E8FF:FEF2:C925,74:EA:E8:F2:C9:25,Northern_Liberties,1,160498,277801,243087,657632,137547,53522,91714,0,1572,1679,435193,424765,273772,99391,129584,0,0,0,0,957,604,190,108,11602617,3180301,4203543,2122234,2549206,2918265,1775697,1389087,8906,,410853,300372,487652,485956,467576,214930,110900,65941,126064,146214,175712,125540,126469,19425,2737,774,2749,2859,1319,164,149,0,0,0,2230220,3348647,2156000,902256,696480,403243,246436,142854,44736,33
2020-03-01 00:01:05,2001:0558:4042:006C:76EA:E8FF:FEF2:CBAD,74:EA:E8:F2:CB:AD,Northern_Liberties,0,271003,445315,179910,172903,213184,124315,470865,0,29756,34636,55149,92784,156779,95014,338974,0,0,0,0,65424,70719,93956,318791,4874746,1771365,1899550,1689676,3872504,2851203,1601900,1294287,67585,,371502,406545,513103,4165814,720338,369190,258552,245068,130838,179189,229075,303620,433518,165295,119879,124020,26120,57503,131455,170220,330040,122596,102929,77639,1499577,3131044,2829139,1573557,1137701,681346,400626,222878,57437,
2020-03-01 00:02:40,2001:0558:4042:0080:76EA:E8FF:FEF2:CD5D,74:EA:E8:F2:CD:5D,Fishtown,0,4335147,9438920,3256800,2010055,1552379,231524,38169,0,674,777,29899,219715,83641,42767,77788,0,0,0,0,463,264,204,,9947107,3954180,3690676,1399548,1847693,2692457,1792677,1766732,79305,,2501537,3473835,1033193,286606,248500,96250,53453,47790,199385,295866,145887,83496,57333,13571,7238,8860,1060,826,485,428,191,88,24,,2190780,2515223,1357814,801293,1540521,635835,433449,311258,63174,5
2020-03-01 00:03:35,2001:0558:4042:0060:76EA:E8FF:FEF2:CD61,74:EA:E8:F2:CD:61,Northern_Liberties,0,80992,135241,66937,72688,80731,47395,106689,0,330,346,14684,36979,66433,74852,115211,0,0,0,0,478,513,314,169,3040330,1017399,1153740,758802,919194,1128395,698063,377528,205659,4,223209,183012,257577,201101,190418,55457,37932,38384,45973,50680,60595,45934,40359,6685,3437,1408,941,443,939,612,366,124,0,0,542147,1220625,887762,327044,273027,157729,94622,45849,12511,1222
2020-03-01 00:04:26,2001:0558:4042:006C:76EA:E8FF:FEF2:CD65,74:EA:E8:F2:CD:65,Northern_Liberties,0,122315,171536,92047,90644,80238,36069,63216,0,155,129,17562,41210,74311,49706,99799,0,0,0,0,196,84,123,467,1814942,493258,562149,495105,877110,1270728,964630,1064906,727411,110,263281,215250,223723,316682,163740,65651,35333,40266,122294,146755,106043,89271,71463,17870,11197,9719,165,363,352,556,518,106,26,24,479769,720860,647195,652265,687053,439652,279403,151318,30744,22431
2020-03-01 00:05:21,2001:0558:4042:0080:76EA:E8FF:FEF2:CD6D,74:EA:E8:F2:CD:6D,Northern_Liberties,16,12004,17245,11911,13616,12886,7492,15383,0,94,160,3600,10535,21056,15345,56127,0,0,0,0,40,21,11,6,475665,139559,185971,122630,206694,278848,200302,186140,104688,38936,33458,26216,42055,1094878,46278,14439,9594,10487,13688,22992,33061,34094,59807,21923,9861,5099,422,297,9,1,6,0,5,3,123965,202943,166979,142441,136177,90517,62413,30723,8008,5590
2020-03-01 00:06:11,2001:0558:4042:0060:76EA:E8FF:FEF2:CDD5,74:EA:E8:F2:CD:D5,Fishtown,0,243922,359540,116103,114854,81110,43554,84308,0,159188,201028,135824,181383,105842,43173,80314,0,0,0,0,2078,119,85,38,1461028,294138,246201,169759,181583,176500,42720,26331,14826,297,577966,346967,424870,6804399,317495,111458,53296,67714,168223,149838,132259,106494,56723,12640,9818,8907,62060,39097,13966,691,187,191,38,4,135325,133853,57254,37481,30748,23402,13895,6332,1672,1113
2020-03-01 00:06:55,2001:0558:4042:0060:76EA:E8FF:FEF2:CDD9,74:EA:E8:F2:CD:D9,Fishtown,109,45081,70438,46470,55509,38741,17931,39015,0,818,1164,21940,45886,69013,37718,50516,0,0,0,0,372,149,93,167,3314986,306677,362137,285854,450903,512052,233535,181719,204382,6106,280949,148286,159515,21726700,163993,59025,28559,11359,59441,59439,56332,33240,15865,2122,638,301,2283,1048,543,150,82,4,0,,305404,291447,177016,155393,160195,126134,90710,43995,14443,9825
2020-03-01 00:07:33,2001:0558:4042:0060:76EA:E8FF:FEF2:CE4D,74:EA:E8:F2:CE:4D,Fishtown,0,6715,10492,4269,3205,1556,710,1385,0,2126,3500,2525,3122,3127,711,1125,0,0,0,0,306,1,2,1,717750,137295,195542,153373,231682,282656,167855,139852,131201,44894,36671,8706,6868,246605,2645,1044,1006,1608,6118,3753,2479,2206,1029,211,153,93,2,2,0,0,0,0,0,0,136239,205034,167046,128610,115123,83712,50322,27708,6326,5778
2020-03-01 00:08:59,2001:0558:4042:0060:AA9F:ECFF:FEDA:9021,A8:9F:EC:DA:90:21,Northern_Liberties,0,199948,326614,222357,277429,244229,140159,383817,0,2093,2321,95991,182701,328344,214401,485408,0,0,0,0,3567,2348,1230,676,11625952,2184945,2655859,2474284,4135055,5673072,3501070,2546560,1904,,518675,431034,683136,23093716,812543,341859,159154,182657,208061,284277,414228,492429,526527,96062,48024,51872,8503,6060,5698,1868,1044,194,51,,2305810,3964503,2899211,1983471,1639519,1001237,546431,309180,101959,
